"x2","x3","x4","x5","x6","x7","x8","x9","dist_x_interest","no_changed","dist_train","dist_x_interest_all","no_changed_all","id","job.id","problem","algorithm","dataset","n_synth","node_selector","weight_coverage","weight_proximity","cf_method"
6.0023077,-1.0564151,0,1,2.7851896494799,1,0,-3.8495672,0.0578812577448121,2,0.0177525974343572,0.0678415986992294,2.16666666666667,4,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.9159524,-1.0564151,0,1,2.72576502434,1,0,-3.8495672,0.0677012407608928,2,0.0184858307567181,0.0678415986992294,2.16666666666667,4,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
6.1140532,-1.0564151,0,1,2.46609945746,1,0,-3.8495672,0.041008331774732,1,0.0155706074957997,0.0678415986992294,2.16666666666667,4,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-0.7465246,0,0,2.47507420829733,0,1,-4.6836796,0.0237861317719485,1,0.0428400527008421,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.8455193,-0.7465246,0,0,2.46181979583,1,0,-4.6836796,0.281493817955786,4,0.0274348865451754,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-4.1082465634,0,0,3.12539530886,0,0,-4.6836796,0.182981474281039,3,0.0279621549674566,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-4.4197326945,0,0,2.47723487589,0,1,-4.6836796,0.0536975552495985,2,0.0299747651869037,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-3.4070915734,0,0,2.44107848887,0,0,-4.9083309793,0.17283501979716,4,0.0249795843241665,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-0.7465246,0,0,2.84861720767,0,1,-4.4810561859,0.0302029275473021,2,0.0455364625298923,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-5.4912051258,0,0,2.59751839916,0,0,-4.591064784,0.189818275645502,4,0.0145510764031527,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.78044513899318,-1.82280974959,0,0,2.47437320103521,0,1,-4.68629435066693,0.0325924596196107,4,0.0379632447666975,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-2.2060543062,0,1,2.29882361617,0,1,-4.6836796,0.158808138914973,3,0.0158652288613536,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.8116154,-3.9031983526,0,0,2.31236793805,1,0,-4.6836796,0.301506459372747,5,0.00883367359877799,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-4.1760709108,0,0,2.52072077294,0,1,-4.6836796,0.0521723519638194,2,0.0313737808122629,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.8999789,-7.1354027342,0,0,2.53020825616,0,0,-4.6836796,0.215786364009661,4,0.015897828281393,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-3.1662498714,0,0,1.99898729608,0,1,-4.9071522288,0.0412101602084609,3,0.0192958286838509,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-3.2054459323,0,0,3.01275058078,0,0,-4.5305889511,0.176329651827553,4,0.0257260545347646,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-4.2991714201,0,0,2.21931768974,0,1,-4.6836796,0.0500033387859381,2,0.0292768418238917,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-2.6188015588,0,0,1.98705084183,0,1,-5.3915541624,0.0425761321602707,3,0.0263806138428112,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-4.2109626756,0,0,2.18992683158,0,1,-4.6836796,0.0489764055177706,2,0.0282499085557241,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.780643,-0.7465246,0,1,2.42792243958,0,0,-4.6836796,0.273290108482736,3,0.0112547517999077,0.12933704295066,3.05555555555556,5,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.9382592,-2.6369946806,0,1,2.44660771086,0,0,-4.2813997,0.0777688247274115,3,0.00495333372021677,0.0818374486319844,2.28571428571429,6,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7976313,-2.045029,0,1,2.31140096025,1,0,-4.2813997,0.179520034817341,2,0.00951320601357191,0.0818374486319844,2.28571428571429,6,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7417219,-2.045029,0,1,2.46997928504,0,0,-4.2813997,0.0629507606463402,2,0.00939927746270396,0.0818374486319844,2.28571428571429,6,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7634174,-2.045029,0,1,2.63466590933,0,0,-4.2813997,0.0620590362126662,2,0.00850755302902993,0.0818374486319844,2.28571428571429,6,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7890422,-3.8786894141,0,1,2.10044237591,0,0,-3.9722272601,0.0720552323908835,4,0.00582319074344453,0.0818374486319844,2.28571428571429,6,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7976313,-2.045029,0,1,2.33134222632,0,0,-4.2813997,0.0547298113041232,1,0.00931778765022683,0.0818374486319844,2.28571428571429,6,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7976313,-3.533529523,0,1,2.04015394017,0,0,-4.2813997,0.0637784403251255,2,0.0120221920413854,0.0818374486319844,2.28571428571429,6,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.8994704,-5.0223441412,0,1,0.77371219278,1,0,-3.2493124,0.0494570464618906,3,0.00342354688302247,0.0434158025978582,2,7,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.8076077,-3.3256412,0,1,1.99377849512,1,0,-3.2493124,0.0373745587338259,1,0.00420204894282601,0.0434158025978582,2,7,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7055826,-2.2787278,1,0,2.01853893738314,0,1,-5.139193,0.0286319911590015,1,0.0279174543431143,0.151379960899524,2.6,8,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7055826,-2.2787278,1,1,2.5375445139,0,1,-5.139193,0.159091783234395,2,0.0170837778432534,0.151379960899524,2.6,8,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7055826,-2.2787278,1,0,2.12015086121,0,1,-4.5335173234,0.0371356680967172,2,0.0215516348835342,0.151379960899524,2.6,8,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.864978,-2.2787278,0,0,3.03725842945,1,0,-4.7034102429,0.438977608193074,6,0.0204333697171882,0.151379960899524,2.6,8,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.762546,-2.2787278,1,0,2.00497541249,0,1,-5.139193,0.035379320016981,2,0.0316683796881009,0.151379960899524,2.6,8,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7055826,-2.2787278,1,0,2.00089979439,0,1,-5.139193,0.0284464323567686,1,0.0277318955408813,0.151379960899524,2.6,8,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7055826,-2.2787278,0,0,2.37657758374,1,0,-2.9350702886,0.434454351342217,5,0.0129345798411056,0.151379960899524,2.6,8,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.6611237,-2.2787278,1,0,2.33522817197,0,1,-5.139193,0.0373410028164951,2,0.0362869208652959,0.151379960899524,2.6,8,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7055826,-2.2787278,1,1,1.74755978054,1,1,-5.139193,0.275781366965215,3,0.0176781312983395,0.151379960899524,2.6,8,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.6665866,-2.2787278,1,0,2.51392570466,0,1,-5.139193,0.0385600848143725,2,0.0375060028631733,0.151379960899524,2.6,8,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.732161,-2.8340714,0,1,2.82632472439,0,0,-4.1637013098,0.171116292952653,3,0.0183831263807867,0.179196892487324,3.5,9,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.732161,-2.8340714,0,1,2.34844774402,0,1,-4.485028,0.0371448349160922,1,0.0139138836234305,0.179196892487324,3.5,9,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.65614,-2.8340714,0,1,2.42811787412,0,1,-4.485028,0.0471780692598178,2,0.00544199152682404,0.179196892487324,3.5,9,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.6760163,-2.8340714,0,1,2.39343148301,0,0,-5.0113369876,0.175869550223704,4,0.0188674855284676,0.179196892487324,3.5,9,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.9621444,-4.3472185571,0,1,1.96050279716,0,1,-5.0750049722,0.0804358674507153,4,0.0125030164420718,0.179196892487324,3.5,9,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.7447295,-4.8777804131,0,1,3.42191027315,1,0,-4.485028,0.31658713034938,5,0.0138981026745108,0.179196892487324,3.5,9,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.6631441,-2.8341461340554,0,1,2.74356369938,1,0,-3.6924421721,0.309378991558379,6,0.0119242713896329,0.179196892487324,3.5,9,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.732161,-2.8340714,0,1,3.17732629752,1,0,-4.485028,0.295864403187851,3,0.0154972746458262,0.179196892487324,3.5,9,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.9025264,-2.6053257432,0,1,2.42479261872,1,0,-6.9395323,0.0376743907526693,2,0.0162333057219609,0.0534138806360494,2.4,10,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.9025264,-1.6417943,0,1,2.49326035431,1,0,-6.9395323,0.0305544492071344,1,0.0076728416960967,0.0534138806360494,2.4,10,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.9025264,-1.69744561737145,0,1,2.44632370596,1,0,-5.1728734209,0.052199489610817,3,0.0140855177821141,0.0534138806360494,2.4,10,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.9176467,-5.3311711326,0,1,1.11604988595,1,0,-3.5889578544,0.0890444591808667,4,0.00748317056317676,0.0534138806360494,2.4,10,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
5.9025264,-1.6417943,0,1,2.49389141918,1,0,-4.7370688908,0.0575966144287598,2,0.0134713146794593,0.0534138806360494,2.4,10,27,"sim","cfs","bn_50","NA","coverage","0","0","MOCARF"
