"x1","x2","x3","x4","dist_x_interest","no_changed","dist_train","dist_x_interest_all","no_changed_all","id","job.id","problem","algorithm","dataset","n_synth","node_selector","weight_coverage","weight_proximity","cf_method"
1,-0.7987691,1,1.82267364455412,0.0290847463441927,1,0.00147575925310867,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.26905802775826,0.0380599187013608,1,0.000576484377756815,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.8087889647,0.0288055757470488,1,0.00138406289978342,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.05332377771,0.033722284701647,1,0.00163239289217528,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.62248052678,1,0.37613022,0.00538476473607823,1,0.00121657887583167,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.81002760211855,0.0288304802570133,1,0.00140896740974792,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.81763183790738,0.0289833738828148,1,0.00156186103554947,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.13716963885846,0.035408121132216,1,0.000827329899309895,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.52551842982,0.0231100317945345,1,0.0015084448990228,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.8381439384,0.0293957978928292,1,0.00116470770447212,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.97260471997,0.0320993169568427,1,0.00313600881181228,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.81917701006259,0.0290144416955259,1,0.00154606390177546,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.22642017345,0.0372026259604957,1,0.000704411038097488,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.45955793409,0.0418901814920951,1,0.00198306938898349,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.33551976359,0.0393962233676771,1,0.00102630003180806,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.14634917662,0.0355926883721754,1,0.000727819131718425,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.63736528985,0.025358866843762,1,0.00200328422242133,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.47545375483,1,1.88630120287622,0.0402397886995552,2,0.000619193509039881,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.79359844903,0.0285001495236808,1,0.00107863667641539,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.32350140261,0.0391545776800034,1,0.00078465434413436,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.0355837384,0.0333655967967358,1,0.00198908079708653,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.17893257591,0.0362478224575371,1,0.00136045898540295,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.0549425329,1,1.81763183790738,0.0517036840828398,2,0.000548469533296144,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.88630120287622,0.0303640659711642,1,0.00166627214292722,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.799762937972,0.028624095057687,1,0.0012025822104216,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.91114761472479,0.0308636372760503,1,0.0020331070263213,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,1.81843156709476,0.028999453538748,1,0.0015610520585534,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.438639196,0.0414695814735539,1,0.0015624693704422,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
1,-0.7987691,1,2.17723689051758,0.0362137283690493,1,0.00134885912859229,0.0332697451915555,1.09964412811388,1,15,"sim","cfs","bn_1","NA","coverage","0","0","MOCARF"
