x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,dist_x_interest,no_changed,dist_train,neg_lik,dist_x_interest_all,no_changed_all,neg_lik_all,dist_train_all,nondom,dist_x_interest_nondom,no_changed_nondom,neg_lik_nondom,dist_train_nondom,id,runtime,job.id,problem,algorithm,dataset,n_synth,node_selector,weight_coverage,weight_proximity,cf_method,log_probs
0.0,3.00261555606541,-2.96525054877717,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0400723275803514,2,0.0687828147102896,0.999999999999968,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-44.04520772476375
0.0,3.62615704906663,0.12372428,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0223332295902119,1,0.052116563437787,0.999999999928402,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-70.55772804694718
0.0,4.41538815826655,0.12372428,1.6187552,-3.05498126120584,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0406327383237762,2,0.0521087608494309,0.999999999999571,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-219.42683066213596
0.0,3.65897203083578,0.12372428,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0226388009384712,1,0.0524221347860463,0.999999999940521,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-73.04008619934012
0.0,3.13363997973617,0.12372428,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0177469370859279,1,0.047530270933503,0.999999999376834,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-42.761195340669246
0.0,2.68872588952261,0.12372428,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0136039209671756,1,0.0449012769101798,0.99999999933431,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-30.29663833165805
0.0,2.20086059082606,1.30901466297304,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0180957340579086,2,0.0467645879850363,0.999999994682216,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,True,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-33.34188113913693
0.0,4.43995155907445,0.12372428,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0299112403713408,1,0.0596945742189159,0.999999999999137,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-161.32033398644512
0.0,4.69975265288529,3.66545783232798,1.6187552,3.32224437036138,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0774500739272219,3,0.0875906740830372,1.0,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-1224.6214444385735
0.0,2.52411874045307,3.70161541009654,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0393433193864985,2,0.0619918482491632,0.999999999979777,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-267.4003988150088
0.0,-0.564941973305397,3.24937980408431,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0405191382563336,2,0.0680016906638679,0.999999999999945,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-41.46676872947234
0.0,2.88042354578158,-1.20999037232006,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0255551408561137,2,0.0542656279860519,0.999999999966271,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-32.24844003649876
0.0,3.8612482219408,2.05888343361032,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0392729939444479,2,0.0573418748443182,0.999999999997442,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-302.328175841209
0.0,3.36957101701662,-1.53845925146914,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0326137856582438,2,0.061324272788182,0.999999999998631,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-45.19835743598691
1.0,2.14497680271,0.48155593529,1.4114127798,-1.19729338865,1.0,0.74286306,4.90469048,1.0,0.73984146,2.2742100763,-0.83442131697,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.072787751277785,8,0.0525715597817636,0.999999998399939,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-36.58055140982559
0.0,2.58017752786,0.12372428,1.6187552,-0.6530415,1.0,0.74286306,5.11994798,0.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0678987560537136,3,0.0523411383488691,0.999999999990544,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-50.8151125812275
0.541716637536219,4.26065503975999,0.12372428,1.6187552,-0.6530415,1.0,0.74286306,4.6774783,1.0,0.73984146,2.0279353,-0.40904278,-2.7936761,0.0,2.3822758,0.65225875,-1.5325272,-0.5202394,-0.50310355,0.0567530427862623,2,0.0865363766338374,0.999999999998807,0.0611565880797085,5.80434782608696,0.999999997399668,0.0542122490679469,False,0.014969034148366,2.14285714285714,0.999999987821192,0.045188927257341,1,12.6941563566526,23,sim,cfs,bn_20,,coverage,0,0,MOCARF,-inf
