"x1","x2","x3","x4","dist_x_interest","no_changed","dist_train","neg_lik","dist_x_interest_all","no_changed_all","neg_lik_all","dist_train_all","nondom","dist_x_interest_nondom","no_changed_nondom","neg_lik_nondom","dist_train_nondom","id","runtime","job.id","problem","algorithm","dataset","n_synth","node_selector","weight_coverage","weight_proximity","cf_method"
-4.5897136,0.0463047698979691,-1.6528931,0,0.0858122897655113,1,0.010288877280741,0.993440504075582,0.181202856564729,1.95833333333333,0.987939588948353,0.0452526697714554,TRUE,0.0859360350368908,1.23529411764706,0.983045146287321,0.0123155863401556,1,16.5959451198578,32,"sim","cfs","bn_5_v2","NA","NA","NA","NA","MOC"
-4.5897136,-0.305706165551765,-1.6528931,0,0.10484499755263,1,0.00961953277752038,0.967441984326917,0.181202856564729,1.95833333333333,0.987939588948353,0.0452526697714554,FALSE,0.0859360350368908,1.23529411764706,0.983045146287321,0.0123155863401556,1,16.5959451198578,32,"sim","cfs","bn_5_v2","NA","NA","NA","NA","MOC"
-4.5897136,-1.55761766728686,-1.6528931,0,0.172533990672731,1,0.0256400813414561,0.999656524380032,0.181202856564729,1.95833333333333,0.987939588948353,0.0452526697714554,FALSE,0.0859360350368908,1.23529411764706,0.983045146287321,0.0123155863401556,1,16.5959451198578,32,"sim","cfs","bn_5_v2","NA","NA","NA","NA","MOC"
-4.5897136,-0.586442986105898,-1.6528931,0,0.12002401994256,1,0.0129461723911755,0.977030448093102,0.181202856564729,1.95833333333333,0.987939588948353,0.0452526697714554,FALSE,0.0859360350368908,1.23529411764706,0.983045146287321,0.0123155863401556,1,16.5959451198578,32,"sim","cfs","bn_5_v2","NA","NA","NA","NA","MOC"
-4.5897136,-0.330529489682883,-1.6528931,0,0.106187157772422,1,0.0109616929973127,0.969020869189484,0.181202856564729,1.95833333333333,0.987939588948353,0.0452526697714554,FALSE,0.0859360350368908,1.23529411764706,0.983045146287321,0.0123155863401556,1,16.5959451198578,32,"sim","cfs","bn_5_v2","NA","NA","NA","NA","MOC"
-4.5897136,-0.356205851330794,-1.6528931,0,0.107575440462154,1,0.0113544728597727,0.97000167841988,0.181202856564729,1.95833333333333,0.987939588948353,0.0452526697714554,FALSE,0.0859360350368908,1.23529411764706,0.983045146287321,0.0123155863401556,1,16.5959451198578,32,"sim","cfs","bn_5_v2","NA","NA","NA","NA","MOC"
-4.5897136,-0.872465722234078,-1.6528931,0,0.135488843926635,1,0.0150435798630644,0.986129524650143,0.181202856564729,1.95833333333333,0.987939588948353,0.0452526697714554,FALSE,0.0859360350368908,1.23529411764706,0.983045146287321,0.0123155863401556,1,16.5959451198578,32,"sim","cfs","bn_5_v2","NA","NA","NA","NA","MOC"
-4.5897136,-1.59170277398213,-1.6528931,0,0.174376921702117,1,0.0274830123708429,0.999764582061661,0.181202856564729,1.95833333333333,0.987939588948353,0.0452526697714554,FALSE,0.0859360350368908,1.23529411764706,0.983045146287321,0.0123155863401556,1,16.5959451198578,32,"sim","cfs","bn_5_v2","NA","NA","NA","NA","MOC"
-4.5897136,-0.538163684925033,-1.6528931,0,0.117413629926216,1,0.0106878145772431,0.980131569911089,0.181202856564729,1.95833333333333,0.987939588948353,0.0452526697714554,FALSE,0.0859360350368908,1.23529411764706,0.983045146287321,0.0123155863401556,1,16.5959451198578,32,"sim","cfs","bn_5_v2","NA","NA","NA","NA","MOC"
-4.5897136,0.0998575815238818,-1.6528931,0,0.082916768881899,1,0.0131843981643534,0.994302243305082,0.181202856564729,1.95833333333333,0.987939588948353,0.0452526697714554,TRUE,0.0859360350368908,1.23529411764706,0.983045146287321,0.0123155863401556,1,16.5959451198578,32,"sim","cfs","bn_5_v2","NA","NA","NA","NA","MOC"
-3.72885792171207,-0.776883475412791,-1.6528931,0.150834928294143,0.187879186690774,3,0.0415108078322132,0.985623088385248,0.181202856564729,1.95833333333333,0.987939588948353,0.0452526697714554,FALSE,0.0859360350368908,1.23529411764706,0.983045146287321,0.0123155863401556,1,16.5959451198578,32,"sim","cfs","bn_5_v2","NA","NA","NA","NA","MOC"
